Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
lstm,PP,SIM1,SIM1,AUC,0.92460726,CV,C6
lstm,PP,SIM1,SIM2,AUC,0.923731994,non_CV,C7
lstm,PP,SIM1,TT1,AUC,0.863541126,non_CV,C8
lstm,PP,SIM2,OT,AUC,0.882439739,non_CV,C9
lstm,PP,SIM2,SIM1,AUC,0.819859204,non_CV,C10
lstm,PP,SIM2,SIM2,AUC,0.917126323,CV,C11
lstm,PP,SIM2,TT1,AUC,0.788503533,non_CV,C12
lstm,PP,TT1,OT,AUC,0.817417318,non_CV,C13
lstm,PP,TT1,SIM1,AUC,0.77151589,non_CV,C14
lstm,PP,TT1,SIM2,AUC,0.801834017,non_CV,C15
lstm,PP,TT1,TT1,AUC,0.828406807,CV,C16
lstm,PP_BR,OT,OT,AUC,0.975624891,CV,C1
lstm,PP_BR,OT,SIM1,AUC,0.90426019,non_CV,C2
lstm,PP_BR,OT,SIM2,AUC,0.947064954,non_CV,C3
lstm,PP_BR,OT,TT1,AUC,0.862106928,non_CV,C4
lstm,PP_BR,SIM1,OT,AUC,0.911717194,non_CV,C5
lstm,PP_BR,SIM1,SIM1,AUC,0.938601173,CV,C6
lstm,PP_BR,SIM1,SIM2,AUC,0.890563863,non_CV,C7
lstm,PP_BR,SIM1,TT1,AUC,0.883414336,non_CV,C8
lstm,PP_BR,SIM2,OT,AUC,0.903721857,non_CV,C9
lstm,PP_BR,SIM2,SIM1,AUC,0.852940855,non_CV,C10
lstm,PP_BR,SIM2,SIM2,AUC,0.972988235,CV,C11
lstm,PP_BR,SIM2,TT1,AUC,0.830065856,non_CV,C12
lstm,PP_BR,TT1,OT,AUC,0.842123134,non_CV,C13
lstm,PP_BR,TT1,SIM1,AUC,0.852611614,non_CV,C14
lstm,PP_BR,TT1,SIM2,AUC,0.846202959,non_CV,C15
lstm,PP_BR,TT1,TT1,AUC,0.887970293,CV,C16
lstm,PP_HR,OT,OT,AUC,0.944738448,CV,C1
lstm,PP_HR,OT,SIM1,AUC,0.878801351,non_CV,C2
lstm,PP_HR,OT,SIM2,AUC,0.893091363,non_CV,C3
lstm,PP_HR,OT,TT1,AUC,0.884223835,non_CV,C4
lstm,PP_HR,SIM1,OT,AUC,0.892294817,non_CV,C5
lstm,PP_HR,SIM1,SIM1,AUC,0.909699834,CV,C6
lstm,PP_HR,SIM1,SIM2,AUC,0.897508703,non_CV,C7
lstm,PP_HR,SIM1,TT1,AUC,0.881578895,non_CV,C8
lstm,PP_HR,SIM2,OT,AUC,0.866778983,non_CV,C9
lstm,PP_HR,SIM2,SIM1,AUC,0.851172437,non_CV,C10
lstm,PP_HR,SIM2,SIM2,AUC,0.930534232,CV,C11
lstm,PP_HR,SIM2,TT1,AUC,0.820077034,non_CV,C12
lstm,PP_HR,TT1,OT,AUC,0.800973068,non_CV,C13
lstm,PP_HR,TT1,SIM1,AUC,0.798483613,non_CV,C14
lstm,PP_HR,TT1,SIM2,AUC,0.773547604,non_CV,C15
lstm,PP_HR,TT1,TT1,AUC,0.850963318,CV,C16
lstm,PP_HR_BR,OT,OT,AUC,0.961666099,CV,C1
lstm,PP_HR_BR,OT,SIM1,AUC,0.904207446,non_CV,C2
lstm,PP_HR_BR,OT,SIM2,AUC,0.933822694,non_CV,C3
lstm,PP_HR_BR,OT,TT1,AUC,0.89556295,non_CV,C4
lstm,PP_HR_BR,SIM1,OT,AUC,0.87230735,non_CV,C5
lstm,PP_HR_BR,SIM1,SIM1,AUC,0.931635267,CV,C6
lstm,PP_HR_BR,SIM1,SIM2,AUC,0.85081288,non_CV,C7
lstm,PP_HR_BR,SIM1,TT1,AUC,0.890633844,non_CV,C8
lstm,PP_HR_BR,SIM2,OT,AUC,0.908973072,non_CV,C9
lstm,PP_HR_BR,SIM2,SIM1,AUC,0.866191127,non_CV,C10
lstm,PP_HR_BR,SIM2,SIM2,AUC,0.958739547,CV,C11
lstm,PP_HR_BR,SIM2,TT1,AUC,0.873461605,non_CV,C12
lstm,PP_HR_BR,TT1,OT,AUC,0.870389334,non_CV,C13
lstm,PP_HR_BR,TT1,SIM1,AUC,0.867231892,non_CV,C14
lstm,PP_HR_BR,TT1,SIM2,AUC,0.868068619,non_CV,C15
lstm,PP_HR_BR,TT1,TT1,AUC,0.930913319,CV,C16
